FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Bupivacaína (cloridrato);Hypofarma;CLORIDRATO DE BUPivACAÍNA;5,0mg/mL;solç inj
Bupropiona (cloridrato);glaxosmithkline;ZYBAN;150mg;comp rev DE lib lenta
Bupropiona (cloridrato);glaxosmithkline;WELLBUTRIN SR;150mg;comp rev DE lib lenta
Buspirona (cloridrato);Bristol Myers Squibb;BUSPAR;10mg;comp
Buspirona (cloridrato);Bristol Myers Squibb;BUSPAR;5,0mg;comp
Busserrelina (acetato);Sanofi-Aventis;SUPRAFACT depot;3,3mg/microbastão;impl
Bussulfano;glaxosmithkline;MYLERAN;2mg;comp rev
Butenafina (cloridrato);Brainfarma;TEFIN;10mg/g;crem derm
Butoconazol (nitrato);Sigma Pharma;gYNAZOLE-1;20mg/g;crem vaginal
Cabergolina;Pfizer;DOSTINEX;0,5mg;comp
Calcitonina sintética de salmão;Novartis Biociências;MIACALCIC;100UI/mL;solç inj
Calcitonina sintética de salmão;Novartis Biociências;MIACALCIC;200UI/dose;solç nas
Candesartana cilexetila;Abbott;BLOPRESS;16mg;comp
Candesartana cilexetila;Abbott;BLOPRESS;8mg;comp
Capecitabina;Roche;XELODA;150mg;comp rev
Capecitabina;Roche;XELODA;500mg;comp rev
Captopril;Bristol Myers Squibb;CAPOTEN;12,5mg;comp
Captopril;Bristol Myers Squibb;CAPOTEN;25mg;comp
Captopril;Bristol Myers Squibb;CAPOTEN;50mg;comp
Carbamazepina;Novartis Biociências;TEgRETOL;200mg;comp
Carbamazepina;Novartis Biociências;TEgRETOL;20mg/mL;susp or
Carbamazepina;Novartis Biociências;TEgRETOL;400mg;comp
Carbamazepina;Novartis Biociências;TEgRETOL CR DivITABS;200mg;comp DE desint lenta
Carbamazepina;Novartis Biociências;TEgRETOL CR DivITABS;400mg;comp DE desint lenta
Carbocisteína;Nycomed;MUCOLITIC;20mg/mL;xpe
Carbocisteína;Nycomed;MUCOLITIC;250mg/4g;gran
Carbocisteína;Nycomed;MUCOLITIC;50mg/mL;solç or (gotas)
Carbocisteína;Nycomed;MUCOLITIC;50mg/mL;xpe
Carboplatina;glenmark;CARBOPLATINA gENÉRICO;150mg;po liof solç inj
Carboplatina;Bristol Myers Squibb;PARAPLATIN;150mg (10mg/mL);solç inj
Carboplatina;Bristol Myers Squibb;PARAPLATIN;450mg (10mg/mL);solç inj
Carboplatina;Bristol Myers Squibb;PARAPLATIN;50mg (10mg/mL);solç inj
Carboplatina;Zodiac;TECNOCARB;450mg;po liof solç inj
Carboximetilcelulose sódica;Allergan;FRESH TEARS;5mg/mL;solç oft
Carboximetilcelulose sódica;Allergan;FRESH TEARS LIQUIgEL;10mg/mL;solç oft
Carvedilol;Roche;COREg;12,5mg;comp
Carvedilol;Roche;COREg;25mg;comp
Carvedilol;Roche;COREg;3,125mg;comp
Carvedilol;Roche;COREg;6,25mg;comp
Cefaclor monoidratada;Sigma Pharma;CECLOR;250mg;caps gelat dura
Cefaclor monoidratada;Sigma Pharma;CECLOR;37,4mg/mL;po susp or
Cefaclor monoidratada;Sigma Pharma;CECLOR;500mg;caps gelat dura
Cefaclor monoidratada;Sigma Pharma;CECLOR;50mg/mL;susp or 
Cefaclor monoidratada;Sigma Pharma;CECLOR;75mg/mL;susp or 
Cefaclor monoidratada;Sigma Pharma;CECLOR;75mg/mL;po susp or
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;25mg/mL;susp or (reconstituído)
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;37,4mg/mL;po susp or
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;375mg;drag lib prolong
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;500mg;drag lib prolong
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;750mg;drag lib prolong
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;75mg/mL;susp or (reconstituído)
Cefaclor monoidratada;Sigma Pharma;CECLOR AF;75mg/mL;po susp or
Cefadrozila monoidratada;Bristol Myers Squibb;CEFAMOX;1000mg;comp rev
Cefadrozila monoidratada;Bristol Myers Squibb;CEFAMOX;100mg/mL;po susp or
Cefadrozila monoidratada;Bristol Myers Squibb;CEFAMOX;500mg;caps gelat dura 
Cefadrozila monoidratada;Bristol Myers Squibb;CEFAMOX;50mg/mL;po susp or
Cefalexina monoidratada;Antibióticos do Brasil;KEFORAL;500mg;caps gelat dura
Cefalexina monoidratada;Eli Lilly;KEFLEX;50mg/mL;susp or
Cefalexina monoidratada;Eli Lilly;KEFLEX;1,5g/15mL = 100mg/mL (apos apos reconstituição);po extemp
Cefalexina monoidratada;Eli Lilly;KEFLEX;1000mg;drag
Cefalexina monoidratada;Eli Lilly;KEFLEX;100mg/mL;susp or
Cefalexina monoidratada;Eli Lilly;KEFLEX;500mg;drag
Cefalexina monoidratada;Sandoz;KEFLAXINA;5g/100mL = 50mg/mL (apos reconstituição);po extemp
