FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Nistatina;Bristol Myers Squibb;MICOSTATIN;100.000U/mL;susp or
Nistatina;Bristol Myers Squibb;MICOSTATIN;200.000U;past
Nistatina;Bristol Myers Squibb;MICOSTATIN;25.000U/g;crem vaginal
Nistatina;Bristol Myers Squibb;MICOSTATIN;500.000U;drag
Nitazoxanida;Farmoquímica;ANNITA;500mg;comp
Nitazoxanida;Farmoquímica;ANNITA;20mg/mL;susp or
Nitrazepam;germed;SONEBON;5,0mg;comp
Nitrendipino;Biosintética;NITRENCORD;10mg;comp rev
Nitrendipino;Biosintética;NITRENCORD;20mg;comp rev
Nitrofurantoína;Mantecorp;MACRODANTINA;100mg;caps gelat dura
Nitroglicerina;Novartis Biociências;NITRODERM TTS;25mg;ades trand
Nitroglicerina;Novartis Biociências;NITRODERM TTS;50mg;ades trand
Nitroglicerina;Cristália;TRIDIL;5mg/mL;solç inj
Nitroprusseto sódico diidratado;Cristália;NITROPRUS;50mg;po liof inj + diluente 2 mL
Nitrufural;Mantecorp;FURACIN;2mg/g;pomd derm
Nitrufural;Mantecorp;FURACIN;2mg/mL;solç top
Noratriptano (cloridrato);glaxosmithkline;NARAMIg;2,5 mg;comp rev
Norepinefrina (hemitartarato);Hypofarma;HYPONOR;2mg/mL;solç inj
Noretisterona;Janssen Cilag;MICRONOR;0,35mg;comp
Norfloxacino;Merck Sharp & Dohme;FLOXACIN;400mg;comp rev
Nortriptilina (cloridrato);Novartis Biociências;PAMELOR;10mg;caps gelat dura
Nortriptilina (cloridrato);Novartis Biociências;PAMELOR;25mg;caps gelat dura
Nortriptilina (cloridrato);Novartis Biociências;PAMELOR;2mg/mL;solç or
Nortriptilina (cloridrato);Novartis Biociências;PAMELOR;50mg;caps gelat dura
Nortriptilina (cloridrato);Novartis Biociências;PAMELOR;75mg;caps gelat dura
Ocitocina;Novartis Biociências;SYNTOCINON;5UI/mL;solç inj
Ocitocina;Novartis Biociências;SYNTOCINON;40UI/mL;solç nas
Octreotida (acetato);Novartis Biociências;SANDOSTATIN;0,05mg/mL;solç inj
Octreotida (acetato);Novartis Biociências;SANDOSTATIN;0,1mg/mL;solç inj
Octreotida (acetato);Novartis Biociências;SANDOSTATIN;0,5mg/mL;solç inj
Octreotida (acetato);Novartis Biociências;SANDOSTATIN LAR;10mg;po susp inj
Octreotida (acetato);Novartis Biociências;SANDOSTATIN LAR;20mg;po susp inj
Octreotida (acetato);Novartis Biociências;SANDOSTATIN LAR;30mg;po susp inj
Ofloxacino;Allergan;OFLOX;3mg/mL;solç oft
Olanzapina;Eli Lilly;ZYPREXA;10mg;comp rev
Olanzapina;Eli Lilly;ZYPREXA;2,5mg;comp rev
Olanzapina;Eli Lilly;ZYPREXA;5,0mg;comp rev
Olanzapina;Eli Lilly;ZYPREXA ZYDIS;5,0mg;comp orodisp
Olanzapina;Eli Lilly;ZYPREXA ZYDIS;10mg;comp orodisp
Olmesartana medoxomila;Sankyo Pharma;BENICAR;20mg;comp rev
Olmesartana medoxomila;Sankyo Pharma;BENICAR;40mg;comp rev
Olopatadina (cloridrato);Alcon;PATANOL;0,10%;solç oft
Omeprazol;Libbs;PEPRAZOL;10mg;caps gelat dura + microgran
Omeprazol;Libbs;PEPRAZOL;20mg;caps gelat dura + microgran
Omeprazol;Libbs;PEPRAZOL;40mg;caps gelat dura + microgran
Omeprazol magnésico;Astrazeneca;LOSEC MUPS;10mg;comp rev
Omeprazol magnésico;Astrazeneca;LOSEC MUPS;20mg;comp rev
Omeprazol magnésico;Astrazeneca;LOSEC MUPS;40mg;comp rev
Omeprazol sódico;Eurofarma;OMEPRAZOL gENÉRICO;40mg/mL;po liof solç inj
Ondansetrona (cloridrato);glaxosmithkline;ZOFRAN;2mg/mL;solç inj
Ondansetrona (cloridrato);glaxosmithkline;ZOFRAN;4mg;comp rev
Ondansetrona (cloridrato);glaxosmithkline;ZOFRAN;8,0mg;comp rev
Ondansetrona (cloridrato);Biolab Sanus;VONAU;4mg;comp desintegr or
Ondansetrona (cloridrato);Biolab Sanus;VONAU;8mg;comp desintegr or
Orlistat;Roche;XENICAL;120mg;caps gelat dura
Oxacilina sódica;Bristol Myers Squibb;STAFICILIN N;166,67mg/mL(500mg);po solç inj
Oxacilina sódica;Eurofarma;OXACILINA SÓDICA;500mg;po solç inj
Oxaliplatina;Sanofi-Aventis;ELOXATIN;100mg;po liof solç inj
Oxaliplatina;Sanofi-Aventis;ELOXATIN;50mg;po liof solç inj
Oxamniquina;Pfizer;MANSIL;250mg;caps gelat dura
Oxamniquina;Pfizer;MANSIL;50mg/mL;susp or
Oxcarbazepina;Novartis Biociências;TRILEPTAL;300mg;comp rev
Oxcarbazepina;Novartis Biociências;TRILEPTAL;600mg;comp rev
Oxcarbazepina;Novartis Biociências;TRILEPTAL;60mg/mL;susp or
Oxibutinina (cloridrato);Apsen;RETEMIC;1mg/mL;xpe
Oxibutinina (cloridrato);Apsen;RETEMIC;5,0mg;comp
Oxibutinina (cloridrato);Apsen;RETEMIC UD;10,0mg;comp rev lib control
Oxicodona (cloridrato);Zodiac;OXYCONTIN;10mg;comp rev lib control
Oxicodona (cloridrato);Zodiac;OXYCONTIN;20mg;comp rev lib control
Oxicodona (cloridrato);Zodiac;OXYCONTIN;40mg;comp rev lib control
Oxiconazol (nitrato);Bayer;OCERAL;10mg/g;crem derm
Oxiconazol (nitrato);Bayer;OCERAL;10mg/g;solç top 
Oximetazolina (cloridrato);Mantecorp;AFRIN;0,25mg/mL;solç nas
Oximetazolina (cloridrato);Mantecorp;AFRIN;0,5mg/mL;solç nas
Oxitetraciclina (cloridrato);Pfizer;TERRAMICINA;500mg;caps gelat dura
Paclitaxel;Bristol Myers Squibb;TAXOL;6,0mg/mL;solç inj
Paliperidona;Janssen Cilag;INVEgA;3mg;comp rev lib prolong 
Paliperidona;Janssen Cilag;INVEgA;6mg;comp rev lib prolong 
Paliperidona;Janssen Cilag;INVEgA;9mg;comp rev lib prolong 
Pamidronato dissódico;Eurofarma;PAMIDRONATO DISSÓDICO;30mg;po liof solç inj
Pamidronato dissódico;Eurofarma;PAMIDRONATO DISSÓDICO;90mg;po liof solç inj
Pamidronato dissódico;Libbs;FAULDPAMI;3 mg/mL;solç inj
Pamidronato dissódico;Libbs;FAULDPAMI;6 mg/mL;solç inj
Pamidronato dissódico;Libbs;FAULDPAMI;9 mg/mL;solç inj
Pantoprazol sódico;Nycomed;PANTOZOL;20mg;comp rev
Pantoprazol sódico;Nycomed;PANTOZOL;40mg;comp rev
Pantoprazol sódico;Nycomed;PANTOZOL;40mg/mL;po liof solç inj
Paracetamol;glaxosmithkline;SONRIDOR;500mg;comp eferv
Paracetamol;Janssen Cilag;TYLENOL;500mg;comp rev
Paracetamol;Janssen Cilag;TYLENOL;750mg;comp rev 
Paracetamol;Janssen Cilag;TYLENOL AP;650mg;comp rev 
Paracetamol;Janssen Cilag;TYLENOL BEBÊ;100mg/mL;susp or
Paracetamol;Janssen Cilag;TYLENOL CRIANÇA;160mg;comp mast
Paracetamol;Janssen Cilag;TYLENOL CRIANÇA;32mg/mL;susp or
Paracetamol;Janssen Cilag;TYLENOL gELCAPS;500mg;comp rev gelat
Paracetamol;Janssen Cilag;TYLENOL gOTAS;200mg/mL;solç or
Paracetamol;Procter & gamble;VICK PYRENA;100mg/g;po prep extemp
Paroxetina (cloridrato);glaxosmithkline;AROPAX;20mg;comp rev
Paroxetina (cloridrato);glaxosmithkline;PAXIL CR;12,5mg;comp lib control
Paroxetina (cloridrato);glaxosmithkline;PAXIL CR;25mg;comp lib control
Paroxetina (cloridrato);Libbs;CEBRILIN;10mg;comp rev
Paroxetina (cloridrato);Libbs;CEBRILIN;30mg;comp rev
Paroxetina (cloridrato);Eurofarma;PONDERA;15mg;comp rev
Paroxetina (cloridrato);Eurofarma;PONDERA;25mg;comp rev
Paroxetina (cloridrato);Eurofarma;PONDERA;40mg;comp rev
Pemetrexede dissódico heptaidratado;Eli Lilly;ALimTA;500mg;po liof inj
Pentoxifilina;Sanofi-Aventis;TRENTAL;20mg/mL;solç inj
Pentoxifilina;Sanofi-Aventis;TRENTAL;400mg;comp rev lib prolong
Pentoxifilina;Sanofi-Aventis;TRENTAL VERT;600mg;comp rev
Pergolida (mesilato);Eli Lilly;CELANCE;0,05mg;comp
Pergolida (mesilato);Eli Lilly;CELANCE;0,25mg;comp
Pergolida (mesilato);Eli Lilly;CELANCE;1mg;comp
Perindopril;Servier;COVERSYL;2mg;comp
Perindopril;Servier;COVERSYL;4mg;comp
Perindopril;Servier;COVERSYL;8mg;comp
Permetrina;glaxosmithkline;KWELL;10mg/g;loç
Permetrina;Stiefel;NEDAX;10mg/g;sabn
Permetrina;Stiefel;NEDAX;10mg/mL;xamp
Permetrina;Stiefel;NEDAX;50mg/mL;loç cremosa
Petidina (cloridrato);Sanofi-Aventis;DOLANTINA;50mg/mL;solç inj
Picossulfato sódico monoidratado;Boehringer Ingelheim;gUTTALAX;2,5mg;pérola getal
Picossulfato sódico monoidratado;Boehringer Ingelheim;gUTTALAX;7,5mg;solç or
Pilocarpina (cloridrato);Allergan;PILOCARPINA;1%;solç oft
Pilocarpina (cloridrato);Allergan;PILOCARPINA;2%;solç oft
Pilocarpina (cloridrato);Allergan;PILOCARPINA;4%;solç oft
Pimecrolimus;Novartis Biociências;ELIDEL;10mg/g;crem derm
Pimetixeno;Novartis Biociências;MURICALM;0,1mg/mL;xpe
Pimetixeno;Novartis Biociências;MURICALM;1mg/mL;solç or
Pinavério (brometo);Nycomed;DICETEL;100mg;comp rev
Pinavério (brometo);Nycomed;DICETEL;50mg;comp rev
Pioglitazona (cloridrato);Abbott;ACTOS;15mg;comp 
Pioglitazona (cloridrato);Abbott;ACTOS;30mg;comp 
Pioglitazona (cloridrato);Abbott;ACTOS;45mg;comp 
Pipemídico, ácido;Zambon;PIPUROL;400mg;caps gelat dura
Piracetam;Medley;CINTILAN;60mg/mL;solç or
Piracetam;Sanofi-Aventis;NOOTROPIL;200mg/mL;solç inj
Piracetam;Sanofi-Aventis;NOOTROPIL;800mg;comp rev
Pirazinamida;Furp;FURP - PIRAZINAMIDA;500mg;comp
Pirenoxina sódica;Allergan;CLARVISOL;0,85mg;comp oft
Piretanida;Sanofi-Aventis;ARELIX;6mg;caps gelat desintegr gradual
Piroxicam;Neoquímica;FLOXICAM;10mg;caps gelat dura
Piroxicam;Pfizer;FELDENE;20mg;caps gelat dura
Piroxicam;Pfizer;FELDENE;20mg;sups
Piroxicam;Pfizer;FELDENE;20mg;comp solúvel
Piroxicam;Pfizer;FELDENE;20mg/mL;solç inj
Piroxicam;Pfizer;FELDENE;5mg/g;gel
Piroxicam;Pfizer;FELDENE SL;20mg;comp
Pirvínio (pamoato);UCI Farma;PYR-PAM;100mg;drag 
Pirvínio (pamoato);UCI Farma;PYR-PAM;10mg/mL;susp or 
Podofilotoxina;Stiefel;WARTEC;1,5mg/g;crem derm
Poliacrílico, ácido;Novartis Biociências;VISCOTEARS;2mg/g;gel oft
Policarbofila cálcica;Libbs;MUVINOR;500mg;comp rev
Policresuleno;Nycomed;ALBOCRESIL;18mg/g;gel
Policresuleno;Nycomed;ALBOCRESIL;360mg/mL;solç ginecológica
Poliestirenossulfonato cálcico;Wyeth;SORCAL;900mg/g;po or
Polimixina B (sulfato);Opem;BEDFORDPOLY B;500.000UI;po liof
Pramipexol;Boehringer Ingelheim;SIFROL;0,125mg;comp
Pramipexol;Boehringer Ingelheim;SIFROL;0,25mg;comp
Pramipexol;Boehringer Ingelheim;SIFROL;1mg;comp
Pravastatina sódica;Bristol Myers Squibb;PRAVACOL;10mg;comp
Pravastatina sódica;Bristol Myers Squibb;PRAVACOL;20mg;comp
Pravastatina sódica;Bristol Myers Squibb;PRAVACOL;40mg;comp
Praziquantel;Merck S/A;CESTOX;150mg;comp
Praziquantel;Merck S/A;CISTICID;500mg;comp
Prazosina (cloridrato);Pfizer;MINIPRESS SR;1mg;caps gelat dura lib lenta
Prazosina (cloridrato);Pfizer;MINIPRESS SR;2mg;caps gelat dura lib lenta
Prazosina (cloridrato);Pfizer;MINIPRESS SR;4mg;caps gelat dura lib lenta
Prednisolona;Aché;PRELONE;5,0mg;comp
Prednisolona;Aché;PRELONE;20mg;comp
Prednisolona (acetato);Allergan;PRED FORT;10mg/mL;susp oft
Prednisolona (acetato);Allergan;PRED MILD;1,2mg/mL;susp oft
Prednisolona (fosfato sódico);Aché;PRELONE;3 mg/mL;solç or
Prednisolona (fosfato sódico);Sanofi-Aventis;PREDNISOLON;1,34mg/mL;solç or
Prednisolona (fosfato sódico);Mantecorp;PREDSim;11mg/mL;solç or
Prednisona;Mantecorp;METICORTEN;20mg;comp
Prednisona;Mantecorp;METICORTEN;5,0mg;comp
Prednisona;Mantecorp;METICORTEN;50mg;comp
Progesterona;Farmoquímica;UTROgESTAN;100mg;caps gelat mole
Progesterona;Farmoquímica;UTROgESTAN;200mg;caps gelat mole
Progesterona;Serono;CRINONE;80mg/g;gel vaginal
Promestrieno;Merck S/A;COLPOTROFINE;10mg;caps gelat mole
Promestrieno;Merck S/A;COLPOTROFINE;10mg/g;crem vaginal
Prometazina;Sanofi-Aventis;cremFENERgAN;0,02g/g;crem derm
Prometazina (cloridrato);Sanofi-Aventis;FENERgAN;25mg;comp rev
Prometazina (cloridrato);Sanofi-Aventis;FENERgAN;25mg/mL;solç inj
Propafenona (cloridrato);Abbott;RITMONORM;300mg;comp rev
Propatilnitrato;Bristol Myers Squibb;SUSTRATE;10mg;comp
Propiltiouracila;Pfizer;PROPIL;100mg;comp
Propofol;Astrazeneca;DIPRivAN;10mg/mL;emul inj
Propofol;Astrazeneca;DIPRivAN;20mg/mL;emul inj
Propranolol (cloridrato);Sigma Pharma;REBATEN LA;160 mg;caps gelat dura + microgran
Propranolol (cloridrato);Sigma Pharma;REBATEN LA;80 mg;caps gelat dura + microgran
Propranolol (cloridrato);Sigma Pharma;PROPRANOLOL;10mg;comp
Propranolol (cloridrato);Sigma Pharma;PROPRANOLOL;40mg;comp
Propranolol (cloridrato);Sigma Pharma;PROPRANOLOL;80mg;comp
Quetiapina (fumarato);Astrazeneca;SEROQUEL;100mg;comp rev
Quetiapina (fumarato);Astrazeneca;SEROQUEL;200mg;comp rev
Quetiapina (fumarato);Astrazeneca;SEROQUEL;25mg;comp rev
Quetiapina (fumarato);Astrazeneca;SEROQUEL;50mg;comp rev
Quetiapina (fumarato);Astrazeneca;SEROQUEL;300mg;comp rev
Quetiapina (fumarato);Biosintética;RUPAFIN;10mg;comp
Quinapril (cloridrato);Pfizer;ACCUPRIL;10mg;comp rev
Quinapril (cloridrato);Pfizer;ACCUPRIL;20mg;comp rev
Rabeprazol sódico;Janssen Cilag;PARIET;10mg;comp rev
Rabeprazol sódico;Janssen Cilag;PARIET;20mg;comp rev
Raloxifeno (cloridrato);Eli Lilly;EVISTA;60mg;comp rev
Raltitrexede;Astrazeneca;TOMUDEX;2mg;po liof inj
Ramipril;Sanofi-Aventis;TRIATEC;2,5mg;comp
Ramipril;Sanofi-Aventis;TRIATEC;5,0mg;comp
Ramipril;Sanofi-Aventis;TRIATEC PREVENT;10mg;caps gelat dura
Ranitidina (cloridrato);glaxosmithkline;ANTAK;150mg;comp eferv
Ranitidina (cloridrato);glaxosmithkline;ANTAK;150mg;gran eferv
Ranitidina (cloridrato);glaxosmithkline;ANTAK;150mg;comp rev
Ranitidina (cloridrato);glaxosmithkline;ANTAK;150mg/10mL;xpe
Ranitidina (cloridrato);glaxosmithkline;ANTAK;25mg/mL;solç inj
Ranitidina (cloridrato);glaxosmithkline;ANTAK;300mg;comp rev
Remifentanila (cloridrato);glaxosmithkline;ULTivA;1mg;po liof inj
Remifentanila (cloridrato);glaxosmithkline;ULTivA;2mg;po liof inj
Remifentanila (cloridrato);glaxosmithkline;ULTivA;5mg;po liof inj
Repaglinida;Novo Nordisk;NOVONORM;0,5mg;comp
Repaglinida;Novo Nordisk;NOVONORM;1mg;comp
Repaglinida;Novo Nordisk;NOVONORM;2mg;comp
Ribavirina;Blausiegel;RIBAVIRIN;250mg;caps gelat dura
Rifamicina SV sódica;Sanofi-Aventis;RIFOCINA;10mg/mL;solç top (spr)
Rifampicina;Furp;FURP- RIFAMPICINA;300mg;caps gelat dura
Riluzol;Sanofi-Aventis;RILUTEK;50mg;comp rev
Risedronato sódico;Sanofi-Aventis;ACTONEL;35mg;comp rev
Risedronato sódico;Sanofi-Aventis;ACTONEL;5mg;comp rev
Risperidona;Janssen Cilag;RISPERDAL;1mg/mL;solç or
Risperidona;Janssen Cilag;RISPERDAL;1mg;comp rev
Risperidona;Janssen Cilag;RISPERDAL;2mg;comp rev
Risperidona;Janssen Cilag;RISPERDAL;3mg;comp rev
Ritonavir;Abbott;NORVIR;100mg;caps gelat mole
Ritonavir;Abbott;NORVIR;80mg/mL;solç or
Rivastigmina (hemitartarato);Novartis Biociências;EXELON;1,5mg;caps gelat dura
Rivastigmina (hemitartarato);Novartis Biociências;EXELON;2 mg/mL;solç or
Rivastigmina (hemitartarato);Novartis Biociências;EXELON;3,0mg;caps gelat dura
Rivastigmina (hemitartarato);Novartis Biociências;EXELON;4,5mg;caps gelat dura
Rivastigmina (hemitartarato);Novartis Biociências;EXELON;6,0mg;caps gelat dura
Rizatriptano (benzoato);Merck Sharp & Dohme;MAXALT;10mg;comp
Rizatriptano (benzoato);Merck Sharp & Dohme;MAXALT;10mg;disco liof
Rizatriptano (benzoato);Merck Sharp & Dohme;MAXALT;5,0mg;comp
Rizatriptano (benzoato);Merck Sharp & Dohme;MAXALT;5,0mg;disco liof
Rocurônio (brometo);Organon;ESMERON;10mg/mL;solç inj
Ropivacaína (cloridrato);Astrazeneca;NAROPIN;10mg/mL;solç inj
Ropivacaína (cloridrato);Astrazeneca;NAROPIN;7,5mg/mL;solç inj
Ropivacaína (cloridrato);Astrazeneca;NAROPIN;2mg/mL;solç inj
Rosiglitiazona (maleato);glaxosmithkline;AVANDIA;4mg;comp rev
Rosiglitiazona (maleato);glaxosmithkline;AVANDIA;8mg;comp rev
Rosuvastatina cálcina;Astrazeneca;CRESTOR;10,40mg;comp rev
Rosuvastatina cálcina;Astrazeneca;CRESTOR;20,80mg;comp rev
Salbutamol;Farmalab;AEROJET;100mcg/erogação;susp aeros or
Salbutamol (sulfato);glaxosmithkline;AEROLIN;120,5mcg/dose;aeros or
Salbutamol (sulfato);glaxosmithkline;AEROLIN;4,8mg;comp
Salbutamol (sulfato);glaxosmithkline;AEROLIN;0,48mg/mL;xpe
Salbutamol (sulfato);glaxosmithkline;AEROLIN;0,5mg/mL;solç inj
Salbutamol (sulfato);glaxosmithkline;AEROLIN;2,4mg;comp
Salbutamol (sulfato);glaxosmithkline;AEROLIN;6,0mg/mL;solç nebul
Salbutamol (sulfato);glaxosmithkline;AEROLIN EDULITO;0,4mg/mL;solç or
Salicilato de bismuto monobásico;Procter & gamble;PEPTO BISMOL;17,46mg/mL;susp or
Salicilato de bismuto monobásico;Procter & gamble;PEPTO BISMOL;262,4mg;comp mast 
Saquinavir (mesilato);Roche;INVIRASE;200mg;caps gelat dura
Saquinavir (mesilato);Roche;INVIRASE;500mg;comp rev
Secnidazol;Sanofi-Aventis;SECNIDAL;1000mg;comp rev
Secnidazol;Sanofi-Aventis;SECNIDAL;30mg/mL;po susp or
Selênio (sulfeto);Farmasa;SELSUN OURO;25mg/mL;xamp
Sertralina (cloridrato);Biosintética;TOLREST;25mg;comp rev
Sertralina (cloridrato);Biosintética;TOLREST;75mg;comp rev
Sertralina (cloridrato);Pfizer;ZOLOFT;100mg;comp rev
Sertralina (cloridrato);Pfizer;ZOLOFT;50mg;comp rev
Sevelamer (cloridrato);genzime;RENAgEL;400mg;comp rev
Sevelamer (cloridrato);genzime;RENAgEL;800mg;comp rev
Sevelamer (cloridrato);genzime;RENAgEL;403mg;caps gelat dura
Sevoflurano;Abbott;SEVORANE;100 mg;inal
Sibutramina (cloridrato);Abbott;REDUCTIL;10mg;caps gelat dura
Sibutramina (cloridrato);Abbott;REDUCTIL;15mg;caps gelat dura
Sildenafil (citrato);Pfizer;VIAgRA;100mg;comp rev
Sildenafil (citrato);Pfizer;VIAgRA;25mg;comp rev
Sildenafil (citrato);Pfizer;VIAgRA;50mg;comp rev
Sinvastatina;Merck Sharp & Dohme;ZOCOR;10mg;comp rev
Sinvastatina;Merck Sharp & Dohme;ZOCOR;20mg;comp rev
Sinvastatina;Merck Sharp & Dohme;ZOCOR;40mg;comp rev
Sinvastatina;Merck Sharp & Dohme;ZOCOR;80mg;comp rev
Sinvastatina;Sandoz;SINVASTACOR;5mg;comp rev
Sirolimo;Wyeth;RAPAMUNE;1mg;drag simples
Sirolimo;Wyeth;RAPAMUNE;2mg;drag simples
Sirolimo;Wyeth;RAPAMUNE;1mg/mL;solç or
Somatostatina;Serono;STILAMIN;3mg;po liof inj + diluente 1mL
Sotalol (cloridrato);Bristol Myers Squibb;SOTACOR;120mg;comp
Sotalol (cloridrato);Bristol Myers Squibb;SOTACOR;160mg;comp
Sufentanila (citrato);Janssen Cilag;SUFENTA;5,0mcg/mL;solç inj
Sufentanila (citrato);Janssen Cilag;SUFENTA;50mcg/mL;solç inj
Sulfadiazina;Catarinense;SULADRIN;500mg;comp
Sulfadiazina de prata;Silvestre;DERMAZINE;10mg/g;crem derm
Sulfadiazina de prata;Silvestre;gINO-DERMAZINE;10mg/g;crem vaginal
Sulfasalazina;Apsen;AZULFIN;500mg;comp rev
Sulfiram;Astrazeneca;TETMOSOL;0,25g/g;solç top
Sulpirida;Sanofi-Aventis;EQUILID;200mg;comp
Sulpirida;Sanofi-Aventis;EQUILID;50mg;caps gelat dura
Sultamicilina;Pfizer;UNASYN;250mg;po susp or
Sultamicilina (tosilato);Pfizer;UNASYN;375mg;comp rev
Sumatripano (succinato);glaxosmithkline;imIgRAN;100mg;comp rev
Sumatripano (succinato);glaxosmithkline;imIgRAN;50mg;comp rev
Sumatripano (succinato);Libbs;SUMAX;6 mg/0,5mL;solç inj
Suxametônio (cloreto);União Química;SUCCINIL COLIN;100mg;po liof inj
Suxametônio (cloreto);União Química;SUCCINIL COLIN;500mg;po liof inj
Tacrolimo;Janssen Cilag;PROgRAF;0,5mg;caps gelat dura
Tacrolimo;Janssen Cilag;PROgRAF;1mg;caps gelat dura
Tacrolimo;Janssen Cilag;PROgRAF;5mg;caps gelat dura
Tacrolimo;Janssen Cilag;PROgRAF;5mg/mL;solç inj
Tacrolimo;Roche;PROTOPIC;0,3mg/g;pomd
Tacrolimo;Roche;PROTOPIC;1mg/g;pomd
Tadalafila;Eli Lilly;CIALIS;20mg;comp rev
Tamoxifeno (citrato);Astrazeneca;NOLVADEX;10mg;comp rev 
Tamoxifeno (citrato);Astrazeneca;NOLVADEX D;20mg;comp rev 
Tansulosina (cloridrato);Boehringer Ingelheim;SECOTEX;0,4mg;caps gelat dura lib prolong
Tegaserode (maleato);Novartis Biociências;ZELMAC;6mg;comp
Tegaserode (maleato);Novartis Biociências;ZELMAC;6mg;comp
Teicoplanina;Sanofi-Aventis;TARgOCID;200mg + diluente 3mL;po liof inj
Teicoplanina;Sanofi-Aventis;TARgOCID;400mg + diluente 3mL;po liof inj
Telmisartana;Boehringer Ingelheim;MICARDIS;40mg;comp
Telmisartana;Boehringer Ingelheim;MICARDIS;80mg;comp
Temozolomida;Schering Plough;TEMODAL;100mg;caps gelat dura
Temozolomida;Schering Plough;TEMODAL;20mg;caps gelat dura
Temozolomida;Schering Plough;TEMODAL;250mg;caps gelat dura
Temozolomida;Schering Plough;TEMODAL;5mg;caps gelat dura
Teniposídeo;Bristol Myers Squibb;VUMON;10mg/mL;solç inj
Tenoxicam;Roche;TILATIL;20mg;comp rev
Tenoxicam;Eurofarma;TENOXICAM - gENÉRICO;20mg;po liof solç inj
Tenoxicam;Eurofarma;TENOXICAM - gENÉRICO;40mg;po liof solç inj
Teofilina;Abbott;TEOLONg;100mg;caps + microgran lib program
Teofilina;Abbott;TEOLONg;200mg;caps + microgran lib program
Teofilina;Abbott;TEOLONg;300mg;caps + microgran lib program
Terazosina (cloridrato);Abbott;HYTRIN;2mg;comp
Terazosina (cloridrato);Abbott;HYTRIN;5,0mg;comp
Terbinafina;Novartis Biociências;LAMISIL;10mg/g;gel
Terbinafina (cloridrato);Novartis Biociências;LAMISIL;10mg/g;crem derm
Terbinafina (cloridrato);Novartis Biociências;LAMISIL;10mg/mL;solç top (spr)
Terbinafina (cloridrato);Novartis Biociências;LAMISIL;125mg;comp
Terbinafina (cloridrato);Novartis Biociências;LAMISIL;250mg;comp
Terbutalina (sulfato);Astrazeneca;BRICANYL;0,3mg/mL;xpe
Terbutalina (sulfato);Astrazeneca;BRICANYL;10mg/mL;solç nebul
Terbutalina (sulfato);Astrazeneca;BRICANYL;2,5mg;comp
Terbutalina (sulfato);Astrazeneca;BRICANYL DURILES;5,0mg;comp abs retard
Terbutalina (sulfato);Astrazeneca;BRICANYL TURBUHALER;0,5mg/dose;po inal
Terbutalina (sulfato);União Química;TERBUTIL;0,5mg/mL;solç inj
Terconazol;Janssen Cilag;gYNO-FUNgIX;8,0mg/g;crem vaginal
Terizidona;Collect;TERIZIDEX;250mg;caps gelat dura
Terlipressina (acetato);Ferring;gLYPRESSIN;1mg;po liof inj
Testosterona (cipionato);germed;DEPOSTERON;100mg/mL;solç inj
Tetraciclina (cloridrato);greenpharma;TETRACILIL;5mg/g;pomd oft
Tetraciclina (cloridrato);Medley;PARENZYME TETRACICLINA;500mg;caps gelat dura
Tetraciclina (fosfato complexo);Bristol Myers Squibb;TETREX;500mg;caps gelat dura
Tiabendazol;UCI Farma;THIABEN;500mg;comp
Tiabendazol;UCI Farma;THIABEN;50mg/mL;susp or
Tiabendazol;União Química;FOLDAN;50mg/g;sabn
Tiabendazol;União Química;FOLDAN;50mg/g;pomd derm
Tiabendazol;União Química;FOLDAN;50mg/mL;loç 
Tiamazol;Biolab Sanus;TAPAZOL;5,0mg;comp
Tiamazol;Biolab Sanus;TAPAZOL;10mg;comp
Tianfenicol;Zambon;gLITISOL;500mg;caps gelat mole
Tianfenicol;Zambon;gLITISOL;2,5g;gran simples
Tiaprida (cloridrato);Sanofi-Aventis;TIAPRIDAL;111.10mg;comp
Tibolona;Akzo Organon;LivIAL;2,5mg;comp
Tibolona;Libbs;LIBIAN;1,25mg;comp
Ticlopidina (cloridrato);Sanofi-Aventis;TICLID;250mg;comp rev
Tigeciclina;Wyeth;TYgACIL;50mg;po liof inj
Timolol (maleato);Merck Sharp & Dohme;TimOPTOL;2,5mg/g;solç oft
Timolol (maleato);Merck Sharp & Dohme;TimOPTOL;5,0mg/g;solç oft
Tinidazol;Pharmacia;PLETIL;1000mg;comp rev
Tinidazol;Pharmacia;PLETIL;500mg;comp rev
Tiocolchicosídeo;Sanofi-Aventis;COLTRAX;2mg/mL;solç inj
Tiocolchicosídeo;Sanofi-Aventis;COLTRAX;4mg;comp
Tioconazol;Pfizer;gINO-TRALEN;65mg/g;pomd vaginal
Tioconazol;Pfizer;TRALEN;10mg/mL;crem derm
Tioconazol;Pfizer;TRALEN;10mg/mL;loç derm
Tioconazol;Pfizer;TRALEN;10mg/mL;po dermat
Tioconazol;Pfizer;TRALEN;280mg/g;solç top
Tioguanina;glaxosmithkline;LANVIS;40mg;comp
Tiopental sódico;Cristália;THIOPENTAX;500 mg;po extemp inj
Tiopental sódico;Cristália;THIOPENTAX;1g;po extemp inj
Tioridazina (cloridrato);Valeant;MELLERIL;10mg;drag
Tioridazina (cloridrato);Valeant;MELLERIL;25mg;drag
Tioridazina (cloridrato);Valeant;MELLERIL;50mg;drag
